INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.11783674359321594
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.12602953612804413
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.12561456859111786
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.127386212348938
INFO:tasks.state_based_grasp_xhand:Step 180 | Reward: -0.1266339272260666
INFO:tasks.state_based_grasp_xhand:Step 190 | Reward: -0.12813732028007507
INFO:tasks.state_based_grasp_xhand:Step 200 | Reward: -0.1291935294866562
INFO:tasks.state_based_grasp_xhand:Step 10 | Reward: -0.1281735897064209
INFO:tasks.state_based_grasp_xhand:Step 20 | Reward: -0.12567338347434998
INFO:tasks.state_based_grasp_xhand:Step 30 | Reward: -0.12313452363014221
INFO:tasks.state_based_grasp_xhand:Step 40 | Reward: -0.12477186322212219
INFO:tasks.state_based_grasp_xhand:Step 50 | Reward: -0.1307244747877121
INFO:tasks.state_based_grasp_xhand:Step 60 | Reward: -0.13128092885017395
INFO:tasks.state_based_grasp_xhand:Step 70 | Reward: -0.13822974264621735
INFO:tasks.state_based_grasp_xhand:Step 80 | Reward: -0.140000119805336
INFO:tasks.state_based_grasp_xhand:Step 90 | Reward: -0.14274440705776215
INFO:tasks.state_based_grasp_xhand:Step 100 | Reward: -0.14274148643016815
INFO:tasks.state_based_grasp_xhand:Step 110 | Reward: -0.14421623945236206
INFO:tasks.state_based_grasp_xhand:Step 120 | Reward: -0.1462041586637497
INFO:tasks.state_based_grasp_xhand:Step 130 | Reward: -0.1480342000722885
INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.14961817860603333
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.15249626338481903
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.15640099346637726
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.15201474726200104
INFO:tasks.state_based_grasp_xhand:Step 180 | Reward: -0.1590317040681839
INFO:tasks.state_based_grasp_xhand:Step 190 | Reward: -0.16206450760364532
INFO:tasks.state_based_grasp_xhand:Step 200 | Reward: -0.16364161670207977
INFO:tasks.state_based_grasp_xhand:Step 10 | Reward: -0.1396501511335373
INFO:tasks.state_based_grasp_xhand:Step 20 | Reward: -0.14488260447978973
INFO:tasks.state_based_grasp_xhand:Step 30 | Reward: -0.15256503224372864
INFO:tasks.state_based_grasp_xhand:Step 40 | Reward: -0.15431426465511322
INFO:tasks.state_based_grasp_xhand:Step 50 | Reward: -0.1568204015493393
INFO:tasks.state_based_grasp_xhand:Step 60 | Reward: -0.16040094196796417
INFO:tasks.state_based_grasp_xhand:Step 70 | Reward: -0.15849484503269196
INFO:tasks.state_based_grasp_xhand:Step 80 | Reward: -0.16519393026828766
INFO:tasks.state_based_grasp_xhand:Step 90 | Reward: -0.16826054453849792
INFO:tasks.state_based_grasp_xhand:Step 100 | Reward: -0.1708454191684723
INFO:tasks.state_based_grasp_xhand:Step 110 | Reward: -0.16947123408317566
INFO:tasks.state_based_grasp_xhand:Step 120 | Reward: -0.16488802433013916
INFO:tasks.state_based_grasp_xhand:Step 130 | Reward: -0.1651127189397812
INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.1640363335609436
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.16295431554317474
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.16442322731018066
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.16613765060901642
INFO:tasks.state_based_grasp_xhand:Step 180 | Reward: -0.16373847424983978
INFO:tasks.state_based_grasp_xhand:Step 190 | Reward: -0.1662205010652542
INFO:tasks.state_based_grasp_xhand:Step 200 | Reward: -0.16523216664791107
INFO:tasks.state_based_grasp_xhand:Step 10 | Reward: -0.11985091865062714
INFO:tasks.state_based_grasp_xhand:Step 20 | Reward: -0.12423903495073318
INFO:tasks.state_based_grasp_xhand:Step 30 | Reward: -0.1230216845870018
INFO:tasks.state_based_grasp_xhand:Step 40 | Reward: -0.11684264987707138
INFO:tasks.state_based_grasp_xhand:Step 50 | Reward: -0.11247651278972626
INFO:tasks.state_based_grasp_xhand:Step 60 | Reward: -0.1077360212802887
INFO:tasks.state_based_grasp_xhand:Step 70 | Reward: -0.10608015209436417
INFO:tasks.state_based_grasp_xhand:Step 80 | Reward: -0.10525377839803696
INFO:tasks.state_based_grasp_xhand:Step 90 | Reward: -0.10213835537433624
INFO:tasks.state_based_grasp_xhand:Step 100 | Reward: -0.10071562975645065
INFO:tasks.state_based_grasp_xhand:Step 110 | Reward: -0.09946505725383759
INFO:tasks.state_based_grasp_xhand:Step 120 | Reward: -0.10093199461698532
INFO:tasks.state_based_grasp_xhand:Step 130 | Reward: -0.10155193507671356
INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.10288608819246292
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.10608240216970444
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.11022347956895828
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.11378262937068939
INFO:tasks.state_based_grasp_xhand:Step 180 | Reward: -0.11593981087207794
INFO:tasks.state_based_grasp_xhand:Step 190 | Reward: -0.11607082933187485
INFO:tasks.state_based_grasp_xhand:Step 200 | Reward: -0.11862119287252426
INFO:tasks.state_based_grasp_xhand:Step 10 | Reward: -0.11492205411195755
INFO:tasks.state_based_grasp_xhand:Step 20 | Reward: -0.1157020553946495
INFO:tasks.state_based_grasp_xhand:Step 30 | Reward: -0.11801163107156754
INFO:tasks.state_based_grasp_xhand:Step 40 | Reward: -0.116727814078331
INFO:tasks.state_based_grasp_xhand:Step 50 | Reward: -0.119441919028759
INFO:tasks.state_based_grasp_xhand:Step 60 | Reward: -0.12293589860200882
INFO:tasks.state_based_grasp_xhand:Step 70 | Reward: -0.12689818441867828
INFO:tasks.state_based_grasp_xhand:Step 80 | Reward: -0.12620913982391357
INFO:tasks.state_based_grasp_xhand:Step 90 | Reward: -0.12792782485485077
INFO:tasks.state_based_grasp_xhand:Step 100 | Reward: -0.12934616208076477
INFO:tasks.state_based_grasp_xhand:Step 110 | Reward: -0.12907999753952026
